food_code,food_name,food_category,representative_food,serving_basis,calories,carbs,protein,fat,sugar,sodium,source
D303-172040000-0001,짬뽕_굴,면 및 만두류,짬뽕,100g,76,12.85,3.65,1.07,0.19,296,식품의약품안전처
D303-172000000-0002,짬뽕_간편조리세트_통오징어짬뽕탕,면 및 만두류,짬뽕,100g,56,3.62,4.15,2.77,1.16,396,식품의약품안전처
D303-172000000-0001,짬뽕_간편조리세트_나가사키 짬뽕탕,면 및 만두류,짬뽕,100g,62,8.96,2.82,1.62,0.9,341,식품의약품안전처
D603-172000000-0001,짬뽕,면 및 만두류,짬뽕,100ml,73,11.93,2.8,1.27,0.46,125,식품의약품안전처
D418-706000000-0001,짜장소스,"장류, 양념류",짜장소스,100ml,101,12.86,4.3,3.71,4.15,538,식품의약품안전처
D301-036390000-0001,짜장밥_오징어,밥류,짜장밥,100g,136,21.5,6.3,2.8,,325,농촌진흥청(국가표준식품성분표)
D401-036000000-0001,짜장밥,밥류,짜장밥,100ml,93,15.58,2.85,1.94,2.14,180,식품의약품안전처
D603-197000000-0001,짜장면,면 및 만두류,짜장면,100ml,105,20.9,4,1.25,1.51,295,식품의약품안전처
D414-715000000-0001,짜사이무침,생채·무침류,짜사이무침,100ml,43,3.66,0.4,3.04,2.8,947,식품의약품안전처
D305-251190000-0001,지리탕_복,국 및 탕류,지리탕,100g,39,1.72,6.95,0.45,0.23,225,식품의약품안전처
D305-251090000-0001,지리탕_대구,국 및 탕류,지리탕,100g,44,1.65,6.93,1.03,0.25,246,식품의약품안전처
D102-072000000-0001,증편,빵 및 과자류,증편,100g,200,44.15,3.17,1.2,3.19,284,식품의약품안전처
D212-561000000-0001,쥐포튀김_쥐포튀김,튀김류,쥐포튀김,100g,405,,12.64,,18.75,891,식품의약품안전처
D312-561000000-0001,쥐포튀김,튀김류,쥐포튀김,100g,357,42.5,9.62,16.49,7.96,717,식품의약품안전처
D711-534000000-0001,쥐포조림,조림류,쥐포조림,100ml,194,23.06,19,2.97,15.01,602,식품의약품안전처
D714-714000000-0001,쥐포무침,생채·무침류,쥐포무침,100ml,298,32.77,26.1,7.41,21.73,1381,식품의약품안전처
D410-496000000-0001,중식잡채,볶음류,중식잡채,100ml,83,13.58,2.3,2.24,1.13,112,식품의약품안전처
D403-171000000-0001,중식우동,면 및 만두류,중식우동,100ml,91,15.29,4.73,0.84,0.82,202,식품의약품안전처
D110-495270000-0001,죽순볶음_소고기,볶음류,죽순볶음,100g,120,3.78,13.68,5.59,2.07,214,식품의약품안전처
D410-495000000-0001,죽순볶음,볶음류,죽순볶음,100ml,133,6.19,4.3,10.85,1.48,1,식품의약품안전처
D401-035450000-0001,주먹밥_참치,밥류,주먹밥,100ml,131,21.16,4.74,2.71,0.63,150,식품의약품안전처
D201-035000000-0003,주먹밥_전주비빔라이스버거,밥류,주먹밥,100g,201,,6.03,,2.81,512,식품의약품안전처
D101-035280000-0001,주먹밥_소고기,밥류,주먹밥,100g,178,34.73,4.76,2.18,0.23,357,식품의약품안전처
D401-035230000-0001,주먹밥_배추김치,밥류,주먹밥,100ml,106,20.81,2.39,1.3,0.79,144,식품의약품안전처
D301-035190000-0001,주먹밥_멸치,밥류,주먹밥,100g,208,36.2,6,4.4,0.6,331,식품의약품안전처
D201-035000000-0005,주먹밥_매콤 로제 구운주먹밥,밥류,주먹밥,100g,209,,5,,3,518,식품의약품안전처
D201-035000000-0004,주먹밥_까르보나라 구운주먹밥,밥류,주먹밥,100g,211,,6,,2,342,식품의약품안전처
D301-035000000-0001,주먹밥_간편조리세트_라이스버거,밥류,주먹밥,100g,208,30.01,6.59,6.83,3.22,508,식품의약품안전처
D401-035000000-0001,주먹밥,밥류,주먹밥,100ml,135,25.52,2.3,2.09,0.88,105,식품의약품안전처
D310-494000000-0001,주꾸미삼겹살,볶음류,주꾸미삼겹살,100g,161,10.66,10.11,8.66,5.41,280,식품의약품안전처
D410-493320000-0001,주꾸미볶음_채소,볶음류,주꾸미볶음,100ml,74,7.99,6.94,1.91,3.13,142,식품의약품안전처
D610-493000000-0001,주꾸미볶음,볶음류,주꾸미볶음,100ml,74,8.01,6.9,1.9,3.09,246,식품의약품안전처
D107-344000000-0001,족발,찜류,족발,100g,233,0.93,26.04,13.91,0,345,식품의약품안전처
D708-441000000-0001,조미 김구이,구이류,조미 김구이,100ml,25,1.46,1.7,2.05,0.12,371,식품의약품안전처
D412-616000000-0001,조기튀김,튀김류,조기튀김,100ml,144,3.62,13.4,7.77,0.01,84,식품의약품안전처
D707-343000000-0001,조기찜,찜류,조기찜,100ml,71,2.58,9.2,2.53,0.88,126,식품의약품안전처
D706-349000000-0001,조기찌개,찌개 및 전골류,조기찌개,100ml,23,1.93,2.4,0.64,0.59,94,식품의약품안전처
D311-533000000-0001,조기조림,조림류,조기조림,100g,128,4.27,13.7,6.27,1.5,590,식품의약품안전처
D108-399000000-0001,조기구이,구이류,조기구이,100g,177,0.44,19.33,10.86,0,1364,식품의약품안전처
D708-440000000-0001,조기 오븐구이,구이류,조기 오븐구이,100ml,39,0.02,5.9,1.58,0,33,식품의약품안전처
D408-439000000-0001,조기 양념구이,구이류,조기 양념구이,100ml,219,10.96,22.1,9.3,5.69,1633,식품의약품안전처
D405-319000000-0001,조개탕,국 및 탕류,조개탕,100ml,12,0.7,1.8,0.15,0.18,111,식품의약품안전처
D316-691020000-0001,조개젓_양념,젓갈류,조개젓,100g,103,12.61,8.61,2.05,6.46,3040,식품의약품안전처
D305-250170000-0001,조개국_바지락,국 및 탕류,조개국,100g,29,1.84,4,0.56,0.24,290,식품의약품안전처
D105-250000000-0001,조개국,국 및 탕류,조개국,100g,16,0.25,1.67,0.89,0.18,297,식품의약품안전처
D108-398210000-0001,조개구이_키조개,구이류,조개구이,100g,130,10.44,17.43,2.07,3.6,454,식품의약품안전처
D405-318000000-0001,조개 미역국,국 및 탕류,조개 미역국,100ml,11,0.97,1.5,0.24,0.07,241,식품의약품안전처
D202-137000000-0006,젤리_트로피컬원더젤리,빵 및 과자류,젤리,100g,328,82,0,0,70,0,식품의약품안전처
D202-137000000-0001,젤리_베어리스타 오가닉 젤리,빵 및 과자류,젤리,100g,350,,0,,58.33,303,식품의약품안전처
D610-529320000-0001,제육볶음_채소,볶음류,제육볶음,100ml,109,6.4,11.3,4.15,3.08,231,식품의약품안전처
D410-529480000-0001,제육볶음_오징어,볶음류,제육볶음,100ml,140,6.9,8.8,8.27,2.87,208,식품의약품안전처
D710-529000000-0001,제육볶음,볶음류,제육볶음,100ml,148,13.71,15.4,3.7,7.61,476,식품의약품안전처
D607-373000000-0001,제육(돼지고기 수육),찜류,제육(돼지고기 수육),100ml,150,1.2,18.7,7.12,0.15,319,식품의약품안전처
D102-071260000-0001,절편_쑥,빵 및 과자류,절편,100g,192,34.87,7.72,2.42,0.25,192,식품의약품안전처
D302-071000000-0001,절편,빵 및 과자류,절편,100g,197,43.58,3.82,0.8,0.08,258,식품의약품안전처
D411-565000000-0001,전어조림,조림류,전어조림,100ml,60,1.9,9,1.22,0.69,93,식품의약품안전처
D408-397000000-0001,전어구이,구이류,전어구이,100ml,33,0.06,5.86,0.82,0,193,식품의약품안전처
D305-249000000-0001,전복탕,국 및 탕류,전복탕,100g,33,2.63,4.47,0.5,0.22,296,식품의약품안전처
D504-191000000-0001,전복죽,죽 및 스프류,전복죽,100ml,120,19.12,3.1,3,0.12,217,식품의약품안전처
D408-438000000-0001,전갱이구이,구이류,전갱이구이,100ml,226,0.17,27.7,11.75,0,1200,식품의약품안전처
D411-564000000-0001,적어조림,조림류,적어조림,100ml,54,3.33,7,0.95,1.09,142,식품의약품안전처
D408-437000000-0001,적어구이,구이류,적어구이,100ml,174,0.31,20.9,9.04,0,1203,식품의약품안전처
D403-170000000-0001,쟁반짜장,면 및 만두류,쟁반짜장,100ml,145,23.63,5.85,2.63,2.42,321,식품의약품안전처
D503-196000000-0001,쟁반국수,면 및 만두류,쟁반국수,100ml,112,19.06,4.1,2.29,2.91,161,식품의약품안전처
